Player,Club,Goals
Olivier Giroud,AC Milan,0
Lucho Gonzalez,Olympique de Marseille,5
Lucho Gonzalez,FC Porto,13
Juninho Pernambucano,Olympique Lyonnais,18
Franck Ribery,FC Bayern Munchen,18
Javier Saviola,FC Barcelona,11
Javier Saviola,AS Monaco FC,4
Javier Saviola,Malaga CF,1
Javier Saviola,Olympiacos FC,2
Riyad Mahrez,Leicester City FC,4
Riyad Mahrez,Manchester City FC,13
Heung-Min Son,Bayer 04 Leverkusen,3
Heung-Min Son,Tottenham Hotspur,14
Francesco Totti,AS Roma,17
Hulk,FC Porto,7
Hulk,FC Zenit,10
Michael Ballack,FC Bayern Munchen,3
Michael Ballack,Chelsea FC,4
Michael Ballack,Bayer 04 Leverkusen,9
David Beckham,Manchester United,14
David Beckham,Real Madrid CF,2
Roberto Carlos,Real Madrid CF,16
Guti,Real Madrid CF,16
Dries Mertens,SSC Napoli,16
Gerard Pique,Manchester United,2
Gerard Pique,FC Barcelona,14
Pedro Rodriguez,FC Barcelona,15
Pedro Rodriguez,Chelsea FC,1
Leroy Sane,FC Schalke 04,1
Leroy Sane,Manchester City FC,6
Leroy Sane,FC Bayern Munchen,9
Roberto Soldado,Real Madrid CF,1
Roberto Soldado,Valencia CF,15
Pierre-Emerick Aubameyang,Borussia Dortmund,15
Seydou Doumbia,PFC CSKA Moskva,13
Seydou Doumbia,FC Basel 1893,1
Seydou Doumbia,Sporting Clube de Portugal,1
Ivan Helguera,Real Madrid CF,15
Simone Inzaghi,SS Lazio,15
Romelu Lukaku,Manchester United,7
Romelu Lukaku,FC Internazionale Milano,6
Romelu Lukaku,Chelsea FC,2
Pavel Nedved,SS Lazio,4
Pavel Nedved,Juventus,11
Ramos,Real Madrid CF,15
Diego Tristan,Real Club Deportivo La Coruna,15
Arturo Vidal,Juventus,9
Arturo Vidal,FC Bayern Munchen,5
Arturo Vidal,FC Barcelona,0
Arturo Vidal,FC Internazionale Milano,1
Theo Walcott,Arsenal FC,15
